id_post;Hora;Canal;Formato;Alcance;Interacciones;Reproducciones;Duracion_video;DM;Retencion;Visitas_perfil;Link_bio;Visitas_producto;Carrito;Compras;Valor_compra;Contacto;Inversion;ROI;Engagement;CPC;Unnamed: 23;Ruta;Fecha;Imagen
POST_190;17:57:51;Facebook;Carrusel;7508;3655;Sin datos;Sin datos;41;Sin datos;401;10;188;8;3;272.01;2;0.0;2.83;131.0;1.44;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_190.jpg;2024-08-08;IMG_190.jpg
POST_146;16:17:20;Instagram;Carrusel;1128;3815;Sin datos;Sin datos;50;Sin datos;484;11;155;47;6;187.7;4;569.78;3.63;122.0;0.27;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_146.jpg;2025-04-05;IMG_146.jpg
POST_74;21:26:57;Instagram;Carrusel;26066;4460;Sin datos;Sin datos;80;Sin datos;218;42;186;1;14;39.43;3;0.0;4.12;65.0;0.21;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_74.jpg;2025-07-28;IMG_74.jpg
POST_183;07:20:17;TikTok;Imagen;44693;2877;Sin datos;Sin datos;73;Sin datos;449;31;95;23;16;186.25;5;255.25;3.49;131.0;1.5;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_183.jpg;2025-04-08;IMG_183.jpg
POST_198;09:15:13;Twitter;Reel;21886;2582;3505;44;81;0.47;60;5;50;36;16;52.84;7;588.42;1.85;0.09;0.43;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_198.jpg;2025-04-07;IMG_198.jpg
POST_12;23:58:26;Instagram;Carrusel;41581;4249;Sin datos;Sin datos;97;Sin datos;312;47;70;1;2;405.46;1;0.0;2.98;112.0;0.72;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_12.jpg;2024-12-15;IMG_12.jpg
POST_5;10:16:41;TikTok;Reel;34730;4080;5161;63;35;0.24;225;11;118;4;8;362.01;7;526.65;3.18;98.0;0.7;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_5.jpg;2024-10-15;IMG_5.jpg
POST_65;10:00:30;Twitter;Reel;45060;115;2876;244;35;0.44;80;28;61;14;0;347.94;9;67.5;4.53;143.0;0.84;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_65.jpg;2025-06-07;IMG_65.jpg
POST_81;13:07:23;TikTok;Imagen;37027;354;Sin datos;Sin datos;93;Sin datos;66;42;191;6;18;166.42;1;883.41;3.55;17.0;0.38;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_81.jpg;2024-11-08;IMG_81.jpg
POST_136;13:40:37;Twitter;Carrusel;24732;4245;Sin datos;Sin datos;50;Sin datos;486;40;52;3;13;74.53;4;449.5;3.64;0.05;1.57;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_136.jpg;2025-02-02;IMG_136.jpg
POST_162;20:22:39;Facebook;Reel;7295;2668;2676;155;30;0.38;472;29;20;22;12;22.94;6;0.0;3.16;105.0;1.83;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_162.jpg;2025-03-28;IMG_162.jpg
POST_79;03:42:05;Facebook;Imagen;24116;898;Sin datos;Sin datos;12;Sin datos;417;0;51;26;0;250.6;1;608.82;2.02;115.0;0.28;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_79.jpg;2024-11-14;IMG_79.jpg
POST_133;13:52:42;Twitter;Reel;8867;1300;8433;282;13;0.14;272;24;135;24;9;378.12;3;879.49;3.59;108.0;0.95;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_133.jpg;2024-09-18;IMG_133.jpg
POST_153;07:17:55;Twitter;Reel;35145;1276;6053;192;19;0.49;22;18;90;39;5;87.78;9;917.63;1.47;141.0;1.23;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_153.jpg;2025-08-01;IMG_153.jpg
POST_55;20:02:36;Twitter;Carrusel;23716;2663;Sin datos;Sin datos;82;Sin datos;351;14;0;11;2;267.18;9;209.25;3.23;121.0;1.45;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_55.jpg;2024-12-22;IMG_55.jpg
POST_141;23:13:48;TikTok;Carrusel;21441;3787;Sin datos;Sin datos;17;Sin datos;213;37;67;42;14;386.6;9;819.02;1.26;69.0;0.46;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_141.jpg;2024-09-20;IMG_141.jpg
POST_93;17:34:19;TikTok;Reel;32141;699;8000;127;94;0.84;257;36;24;3;7;348.48;2;0.0;3.5;21.0;0.27;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_93.jpg;2025-07-29;IMG_93.jpg
POST_128;15:31:07;Facebook;Imagen;2649;3676;Sin datos;Sin datos;100;Sin datos;69;10;157;50;14;207.27;2;661.44;1.17;34.0;1.18;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_128.jpg;2025-03-20;IMG_128.jpg
POST_169;11:05:35;Instagram;Reel;39140;2914;3921;215;79;0.76;224;13;123;48;9;482.08;1;392.4;3.75;122.0;1.23;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_169.jpg;2025-07-09;IMG_169.jpg
POST_7;08:06:33;TikTok;Imagen;9120;885;Sin datos;Sin datos;36;Sin datos;455;22;111;2;16;328.4;8;315.87;0.8;108.0;0.92;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_7.jpg;2024-10-13;IMG_7.jpg
POST_169;13:29:16;Twitter;Carrusel;32831;1413;Sin datos;Sin datos;80;Sin datos;355;9;185;15;1;91.24;8;340.84;3.03;115.0;1.82;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_169.jpg;2025-07-09;IMG_169.jpg
